"key","RU","EN"
"RU","Русский","Russian"
"EN","Английский","English"
"email","Почта","Email"
"please_enter_email","Пожалуйста, введите почту","Please, enter email"
"please_enter_valid_email","Пожалуйста, введите корректную почту","Please, enter valid email"
"password","Пароль","Password"
"please_enter_password","Пожалуйста, введите пароль","Please, enter password"
"password_must_be_at_least_6_and_max_32_characters","Пароль должен быть не менее 6 и не более 32 символов","Password must be at least 6 and max 32 characters"
"login","Логин","Login"
"enter_email","Введите почту","Enter email"
"enter_password","Введите пароль","Enter password"
"authorization","Авторизация","Authorization"
"welcome_to_the_system","Добро пожаловать в систему!","Welcome to the system!"
"session_expired","Сессия истекла","Session expired"
"internal_system","Внутренняя система","Internal system"
"you_dont_have_access","У вас нет доступа","You don't have access"
"page_not_found","Страница не найдена","Page not found"
"critical_error","Критическая ошибка","Critical error"
"please_try_again_or_contact_support","Пожалуйста, попробуйте еще раз или обратитесь в службу поддержки","Please, try again or contact support"
"you_dont_have_access_to_the_system","У вас нет доступа к системе","You don't have access to the system"
"dashboard","Панель управления","Dashboard"
"users","Пользаватели","Users"
"organizations","Организации","Organizations"
"applications","Заявки","Applications"
"settings","Настройки","Settings"
"catalog","Каталог","Catalog"
"fullName","ФИО","Name"
"type","Тип","Type"
"org_name","Название организации","Organization name"
"no_data","Нет данных","No data"
"id","ID","ID"
"first_name","Имя","First name"
"last_name","Фамилия","Last name"
"user_type","Тип пользователя","User type"
"is_deleted","Удален","Is deleted"
"created_at","Дата создания","Created at"
"updated_at","Дата обновления","Updated at"
"name","Название","Name"
"currency","Валюта","Currency"
"logout","Выйти","Logout"
"you_have_successfully_logged_out","Вы успешно вышли из системы","You have successfully logged out"
"yes","Да","Yes"
"no","Нет","No"
"add_user","Добавить пользователя","Add user"
"search_user_by_id_first_name_last_name_email","Поиск пользователя по ID, имени, фамилии, почте","Search user by ID, first name, last name, email"
"search","Поиск","Search"
"add","Добавить","Add"
"new_user","Новый пользователь","New user"
"user_successfully_added","Пользователь успешно добавлен","User successfully added"
"admin","Админ","Admin"
"developer","Разработчик","Developer"
"moderator","Модератор","Moderator"
"merchant","Владелец","Merchant"
"manager","Менеджер","Manager"
"client","Клиент","Client"
"enter_firstname","Введите имя","Enter first name"
"enter_lastname","Введите фамилию","Enter last name"
"select_usertype","Выберите тип пользователя","Select user type"
"please_enter_firstname","Пожалуйста, введите имя","Please, enter first name"
"please_enter_lastname","Пожалуйста, введите фамилию","Please, enter last name"
"please_select_usertype","Пожалуйста, выберите тип пользователя","Please, select user type"
"reset","Сбросить","Reset"
"confirm_password","Подтвердите пароль","Confirm password"
"please_enter_confirm_password","Пожалуйста, введите подтверждение пароля","Please, enter confirm password"
"enter_confirm_password","Введите подтверждение пароля","Enter confirm password"
"password_does_not_match","Пароли не совпадают","Password does not match"
"details","Детали","Details"
"action","Действие","Action"
"back","Назад","Back"
"user_profile","Профиль пользователя","User profile"
"unknown","Неизвестно","Unknown"
"edit","Редактировать","Edit"
"cancel","Отмена","Cancel"
"user_successfully_edited","Пользователь успешно отредактирован","User successfully edited"
"user_successfully_deleted","Пользователь успешно удален","User successfully deleted"
"delete","Удалить","Delete"
"deleted_users","Удаленные пользователи","Deleted users"
"recover","Восстановить","Recover"
"user_successfully_recovered","Пользователь успешно восстановлен","User successfully recovered"
"deleted_organizations","Удаленные организации","Deleted organizations"
"new_organization","Новая организация","New organization"
"organization_info","Информация об организации","Organization info"
"add_organization","Добавить организацию","Add organization"
"search_org_by_name_id","Поиск организации по названию, ID","Search organization by name, ID"
"organization_name","Название организации","Organization name"
"phone","Телефон","Phone"
"address","Адрес","Address"
"desc","Описание","Description"
"logo","Логотип","Logo"
"enter_logo","Введите логотип","Enter logo"
"enter_organization_name","Введите название организации","Enter organization name"
"select_currency","Выберите валюту","Select currency"
"enter_phone","Введите телефон","Enter phone"
"enter_address","Введите адрес","Enter address"
"enter_desc","Введите описание","Enter description"
"please_enter_organization_name","Пожалуйста, введите название организации","Please, enter organization name"
"please_select_currency","Пожалуйста, выберите валюту","Please, select currency"
"please_enter_phone","Пожалуйста, введите телефон","Please, enter phone"
"hkd","Гонконгский Доллар","Hong Kong Dollar"
"usd","Доллар США","US Dollar"
"kzt","Казахский Тенге","Kazakhstan Tenge"
"organization_successfully_added","Организация успешно добавлена","Organization successfully added"
"not_translated","Нет перевода","Not translated"
"not_valid_mlstring","Неверный формат Multi Language String","Not Valid Multi Language String"
"does_not_exist_in_dictionary","Не существует в словаре","Does not exist in dictionary"
"to_main_menu","На главное меню","To Main Menu"
"preferred_lang","Предпочитаемый язык","Preferred language"
"please_select_preferred_lang","Пожалуйста, выберите предпочитаемый язык","Please, select preferred language"
"select_preferred_lang","Выберите предпочитаемый язык","Select preferred language"
"products","Продукты","Products"
"orders","Заказы","Orders"
"product_successfully_added","Продукт успешно добавлен","Product successfully added"
"product_successfully_edited","Продукт успешно отредактирован","Product successfully edited"
"product_successfully_recovered","Продукт успешно восстановлен","Product successfully recovered"
"product_successfully_deleted","Продукт успешно удален","Product successfully deleted"
"new_product","Новый продукт","New product"
"product_details","Детали продукта","Product details"
"search_product_by_id_or_name","Поиск продукта по ID или названию","Search product by ID or name"
"add_product","Добавить продукт","Add product"
"deleted_products","Удаленные продукты","Deleted products"
"quantity","Количество","Quantity"
"status","Статус","Status"
"price","Цена","Price"
"active","Активный","Active"
"archive","Архивный","Archived"
"please_enter_name","Пожалуйста, введите название","Please, enter name"
"enter_name","Введите название","Enter name"
"please_enter_desc","Пожалуйста, введите описание","Please, enter description"
"please_select_status","Пожалуйста, выберите статус","Please, select status"
"please_enter_price","Пожалуйста, введите цену","Please, enter price"
"please_enter_quantity","Пожалуйста, введите количество","Please, enter quantity"
"sections","Секции","Sections"
"categories","Категории","Categories"
"category_successfully_added","Категория успешно добавлена","Category successfully added"
"category_successfully_edited","Категория успешно отредактирована","Category successfully edited"
"category_successfully_recovered","Категория успешно восстановлена","Category successfully recovered"
"category_successfully_deleted","Категория успешно удалена","Category successfully deleted"
"section_successfully_added","Секция успешно добавлена","Section successfully added"
"section_successfully_edited","Секция успешно отредактирована","Section successfully edited"
"section_successfully_recovered","Секция успешно восстановлена","Section successfully recovered"
